2019-01-09 08:47:36 [restartedMain] [StartupInfoLogger.java/48] INFO  - Starting ApplicationStart on whli-PC with PID 4076 (E:\workspace\whli\JEEWHL\jee-boot\jee-web\target\classes started by whli in E:\workspace\whli\JEEWHL\jee-boot)
2019-01-09 08:47:36 [restartedMain] [SpringApplication.java/597] INFO  - The following profiles are active: dev
2019-01-09 08:47:49 [restartedMain] [StartupInfoLogger.java/57] INFO  - Started ApplicationStart in 12.854 seconds (JVM running for 16.624)
2019-01-09 08:48:49 [Quartz Scheduler [schedulerFactory]] [DruidDataSource.java/930] INFO  - {dataSource-1} inited
2019-01-09 08:49:00 [http-nio-8088-exec-1] [DruidDataSource.java/930] INFO  - {dataSource-2} inited
2019-01-09 08:49:00 [http-nio-8088-exec-1] [DruidDataSource.java/930] INFO  - {dataSource-3} inited
2019-01-09 08:49:00 [http-nio-8088-exec-1] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-1] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 08:49:00 [http-nio-8088-exec-3] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
